"""","第3次産業_運輸業,郵便業","第3次産業_卸売･小売業","第3次産業_金融･保険業","第3次産業_不動産業・物品賃貸業","第3次産業_ 学術研究，専門・技術サービス業","第3次産業_宿泊業，飲食サービス業","第3次産業_生活関連サービス業，娯楽業","第3次産業_教育，学習支援業","第3次産業_医療，福祉"
" 総  数","22017.0","73799.0","10352.0","5119.0","9631.0","25571.0","16263.0","21703.0","57867.0"
"","","","","","","","","",""
"　和歌山市","9050.0","27983.0","4746.0","2623.0","4333.0","9092.0","5841.0","7710.0","21127.0"
"　海 南 市","1229.0","4067.0","549.0","198.0","528.0","870.0","764.0","1188.0","3124.0"
"　橋 本 市","1572.0","5070.0","829.0","409.0","654.0","1384.0","1185.0","1837.0","4369.0"
"　有 田 市","563.0","2080.0","282.0","98.0","225.0","490.0","405.0","509.0","1544.0"
"　御 坊 市","390.0","1989.0","228.0","61.0","174.0","663.0","462.0","538.0","1405.0"
"　田 辺 市","1312.0","6281.0","699.0","378.0","757.0","2901.0","1415.0","1574.0","4701.0"
"　新 宮 市","561.0","2881.0","358.0","159.0","226.0","1074.0","582.0","704.0","2012.0"
"　紀の川市","1785.0","4391.0","581.0","240.0","630.0","990.0","908.0","1582.0","3872.0"
"　岩 出 市","1716.0","4200.0","499.0","297.0","552.0","1203.0","934.0","1165.0","3064.0"
"","","","","","","","","",""
"  紀美野町","204.0","672.0","62.0","16.0","72.0","135.0","192.0","208.0","602.0"
"","","","","","","","","",""
"　かつらぎ町","368.0","1108.0","129.0","35.0","136.0","289.0","294.0","468.0","932.0"
"　九度山町","140.0","300.0","33.0","18.0","25.0","67.0","57.0","113.0","258.0"
"　高 野 町","63.0","348.0","14.0","6.0","27.0","157.0","60.0","75.0","118.0"
"","","","","","","","","",""
"　湯 浅 町","256.0","1152.0","119.0","33.0","69.0","331.0","199.0","248.0","705.0"
"　広 川 町","136.0","488.0","59.0","18.0","51.0","108.0","96.0","174.0","360.0"
"　有田川町","460.0","1662.0","189.0","64.0","191.0","388.0","366.0","617.0","1514.0"
"","","","","","","","","",""
"　美 浜 町","147.0","444.0","100.0","20.0","65.0","163.0","121.0","217.0","690.0"
"　日 高 町","113.0","427.0","77.0","14.0","72.0","133.0","90.0","185.0","494.0"
"　由 良 町","110.0","408.0","50.0","12.0","25.0","145.0","102.0","127.0","388.0"
"　印 南 町","117.0","492.0","56.0","13.0","62.0","140.0","151.0","161.0","388.0"
"　みなべ町","197.0","847.0","73.0","33.0","68.0","267.0","135.0","284.0","551.0"
"　日高川町","127.0","468.0","85.0","23.0","82.0","198.0","136.0","269.0","610.0"
"","","","","","","","","",""
"　白 浜 町","328.0","1502.0","126.0","159.0","195.0","1983.0","559.0","369.0","1237.0"
"　上富田町","283.0","983.0","105.0","64.0","133.0","487.0","307.0","405.0","1041.0"
"　すさみ町","60.0","234.0","23.0","23.0","32.0","171.0","95.0","66.0","294.0"
"","","","","","","","","",""
"　那智勝浦町","342.0","1598.0","133.0","52.0","108.0","923.0","336.0","347.0","937.0"
"　太 地 町","62.0","232.0","22.0","19.0","24.0","131.0","46.0","95.0","214.0"
"　古座川町","41.0","156.0","15.0","4.0","10.0","70.0","61.0","56.0","184.0"
"　北 山 村","13.0","17.0","1.0","-","1.0","18.0","2.0","8.0","20.0"
"　串 本 町","272.0","1319.0","110.0","30.0","104.0","600.0","362.0","404.0","1112.0"
